timestamp,system,incident_type,severity,region,cpu_usage,memory_usage,latency_ms,resolved,resolution_time_minutes
2026-03-21 12:40:22.328330,payment-api,latency_spike,high,eu-west,72.45,68.34,271.82,True,40.0
2026-03-12 16:40:22.328330,payment-api,network_issue,low,ap-south,87.85,67.19,201.27,False,
2026-05-15 20:05:22.328330,payment-api,latency_spike,medium,eu-west,88.69,79.21,182.44,True,148.0
2026-04-30 15:08:22.328330,search-api,network_issue,critical,eu-west,73.14,64.44,182.74,False,
2026-03-26 02:14:22.328330,inventory-engine,deployment_failure,low,eu-west,68.63,47.04,82.01,False,
2026-04-17 18:13:22.328330,inventory-engine,memory_leak,medium,us-east,56.57,57.85,245.14,True,28.0
2026-04-14 03:33:22.328330,payment-api,cpu_overload,high,ap-south,51.38,53.05,337.25,False,
2026-03-06 06:19:22.328330,payment-api,network_issue,critical,ap-south,61.61,70.81,106.02,True,101.0
2026-05-11 13:22:22.328330,notification-service,cpu_overload,high,ap-south,56.83,71.33,127.92,True,185.0
2026-05-12 09:34:22.328330,payment-api,network_issue,medium,us-east,70.64,62.79,196.66,True,223.0
2026-04-27 12:58:22.328330,analytics-pipeline,latency_spike,critical,us-east,55.97,92.23,218.92,False,
2026-03-21 20:50:22.328330,analytics-pipeline,cpu_overload,medium,us-east,49.13,79.87,122.33,False,
2026-04-29 15:50:22.328330,search-api,cpu_overload,low,ap-south,68.13,46.48,113.75,True,141.0
2026-03-13 08:42:22.328330,auth-service,memory_leak,critical,us-east,67.95,78.86,233.71,False,
2026-02-23 11:58:22.328330,search-api,network_issue,medium,ap-south,63.27,66.39,101.72,False,
2026-03-03 00:16:22.328330,analytics-pipeline,deployment_failure,low,eu-west,54.2,64.47,304.57,True,211.0
2026-04-20 00:23:22.328330,recommendation-engine,cpu_overload,low,eu-west,70.15,48.84,245.93,False,
2026-04-29 09:01:22.328330,search-api,api_timeout,critical,ap-south,59.22,61.88,268.93,False,
2026-05-05 17:24:22.328330,inventory-engine,memory_leak,medium,ap-south,80.46,81.18,152.86,False,
2026-03-11 17:38:22.328330,notification-service,api_timeout,critical,us-east,60.36,73.98,298.04,True,40.0
2026-04-02 08:26:22.328330,recommendation-engine,latency_spike,low,eu-west,57.81,67.77,131.49,True,165.0
2026-05-04 04:01:22.328330,analytics-pipeline,network_issue,critical,ap-south,47.06,79.75,328.5,True,103.0
2026-04-13 23:51:22.328330,notification-service,api_timeout,high,ap-south,63.92,82.04,248.93,True,179.0
2026-03-14 03:04:22.328330,payment-api,network_issue,high,ap-south,55.32,74.34,343.04,False,
2026-05-08 13:49:22.328330,inventory-engine,api_timeout,medium,us-east,64.46,88.78,10.42,True,189.0
2026-02-28 00:11:22.328330,search-api,cpu_overload,medium,ap-south,77.33,71.04,196.08,True,227.0
2026-03-22 19:31:22.328330,inventory-engine,deployment_failure,medium,eu-west,66.38,46.15,202.43,False,
2026-03-10 07:47:22.328330,auth-service,database_failure,low,ap-south,70.36,87.73,178.54,False,
2026-04-04 06:08:22.328330,payment-api,latency_spike,high,us-east,52.87,63.98,293.23,True,19.0
2026-04-26 19:19:22.328330,notification-service,latency_spike,low,ap-south,69.93,63.64,261.06,False,
2026-03-05 10:53:22.328330,payment-api,deployment_failure,medium,eu-west,66.46,81.62,163.84,False,
2026-02-21 13:05:22.328330,notification-service,memory_leak,high,ap-south,60.09,65.29,102.92,False,
2026-02-19 22:50:22.328330,auth-service,database_failure,medium,ap-south,69.44,73.13,220.41,False,
2026-04-12 09:54:22.328330,search-api,network_issue,high,us-east,61.48,53.02,186.35,False,
2026-05-07 17:10:22.328330,auth-service,memory_leak,low,us-east,59.86,60.37,207.1,True,155.0
2026-03-29 07:27:22.328330,auth-service,database_failure,medium,eu-west,71.06,92.63,233.97,True,186.0
2026-03-22 06:51:22.328330,payment-api,memory_leak,low,eu-west,68.86,69.11,66.5,False,
2026-05-12 06:43:22.328330,notification-service,memory_leak,high,ap-south,64.6,70.72,417.06,False,
2026-04-29 05:30:22.328330,notification-service,memory_leak,critical,eu-west,62.11,73.62,217.22,False,
2026-03-06 05:30:22.328330,recommendation-engine,memory_leak,low,eu-west,47.47,83.71,280.15,False,
2026-04-16 11:32:22.328330,recommendation-engine,api_timeout,critical,ap-south,76.87,59.09,332.22,True,177.0
2026-03-20 06:01:22.328330,search-api,latency_spike,low,us-east,43.97,77.04,395.24,False,
2026-03-06 20:35:22.328330,analytics-pipeline,latency_spike,medium,eu-west,50.14,63.2,227.97,True,142.0
2026-04-07 21:30:22.328330,auth-service,api_timeout,medium,us-east,57.45,51.39,225.49,False,
2026-04-25 23:48:22.328330,analytics-pipeline,latency_spike,critical,ap-south,49.07,75.68,146.45,True,17.0
2026-03-20 08:53:22.328330,notification-service,deployment_failure,low,eu-west,88.25,60.6,194.24,True,47.0
2026-04-11 17:41:22.328330,recommendation-engine,api_timeout,medium,us-east,77.2,55.23,238.2,True,47.0
2026-04-14 05:38:22.328330,payment-api,api_timeout,high,us-east,84.61,50.71,234.77,False,
2026-04-10 05:26:22.328330,search-api,network_issue,critical,eu-west,68.9,79.38,121.04,True,80.0
2026-04-28 21:56:22.328330,payment-api,database_failure,low,ap-south,45.19,76.26,243.76,False,
2026-05-13 12:38:22.328330,payment-api,database_failure,critical,ap-south,68.76,74.16,165.6,True,19.0
2026-02-20 06:39:22.328330,notification-service,latency_spike,medium,eu-west,68.48,73.52,162.85,True,177.0
